Time,Heatsink Temp.,Speed [RPM],Motor Voltage,Motor current
2022-02-04 11:26:42,31.0,0.0,0.0,0.0
2022-02-04 11:26:52,31.0,0.0,0.0,0.0
2022-02-04 11:27:02,31.0,0.0,0.0,0.0
2022-02-04 11:27:12,31.0,0.0,0.0,0.0
2022-02-04 11:27:22,31.0,0.0,0.0,0.0
2022-02-04 11:27:32,31.0,0.0,0.0,0.0
2022-02-04 11:27:42,31.0,0.0,0.0,0.0
2022-02-04 11:27:52,31.0,0.0,0.0,0.0
2022-02-04 11:28:02,31.0,0.0,0.0,0.0
2022-02-04 11:28:12,31.0,0.0,0.0,0.0
2022-02-04 11:28:22,31.0,0.0,0.0,0.0
2022-02-04 11:28:32,31.0,0.0,0.0,0.0
2022-02-04 11:28:42,31.0,0.0,0.0,0.0
2022-02-04 11:28:52,31.0,0.0,0.0,0.0
2022-02-04 11:29:02,31.0,0.0,0.0,0.0
2022-02-04 11:29:12,31.0,0.0,0.0,0.0
2022-02-04 11:29:22,31.0,0.0,0.0,0.0
2022-02-04 11:29:32,31.0,0.0,0.0,0.0
2022-02-04 11:29:42,31.0,0.0,0.0,0.0
2022-02-04 11:29:52,31.0,0.0,0.0,0.0
2022-02-04 11:30:02,31.0,0.0,0.0,0.0
2022-02-04 11:30:12,31.0,0.0,0.0,0.0
2022-02-04 11:30:22,31.0,0.0,0.0,0.0
2022-02-04 11:30:32,31.0,0.0,0.0,0.0
2022-02-04 11:30:42,31.0,0.0,0.0,0.0
2022-02-04 11:30:52,31.0,0.0,9.9,4.76
2022-02-04 11:31:02,32.0,0.0,9.9,4.76
2022-02-04 11:31:12,34.0,0.0,9.9,4.76
2022-02-04 11:31:22,35.0,0.0,9.8,4.76
2022-02-04 11:31:32,35.0,-499.0,127.2,4.99
2022-02-04 11:31:42,36.0,-500.0,127.2,4.99
2022-02-04 11:31:52,36.0,-498.0,127.0,4.99
2022-02-04 11:32:02,36.0,-500.0,127.2,5.0
2022-02-04 11:32:12,36.0,-500.0,127.2,4.99
2022-02-04 11:32:22,37.0,-500.0,127.1,5.0
2022-02-04 11:32:32,37.0,-498.0,127.1,5.0
2022-02-04 11:32:42,37.0,-500.0,127.1,4.99
2022-02-04 11:32:52,37.0,-499.0,127.1,5.0
2022-02-04 11:33:02,37.0,-498.0,127.1,5.0
2022-02-04 11:33:12,37.0,-500.0,127.2,5.0
2022-02-04 11:33:22,37.0,-500.0,127.1,4.99
2022-02-04 11:33:32,37.0,-500.0,127.2,5.0
2022-02-04 11:33:42,38.0,-500.0,127.2,5.01
2022-02-04 11:33:52,38.0,-500.0,127.0,4.99
2022-02-04 11:34:02,38.0,-500.0,127.2,4.99
2022-02-04 11:34:12,38.0,-500.0,127.1,5.0
2022-02-04 11:34:22,38.0,-500.0,127.2,4.99
2022-02-04 11:34:32,38.0,-498.0,127.2,4.98
2022-02-04 11:34:42,38.0,-500.0,127.3,5.0
2022-02-04 11:34:52,38.0,-498.0,127.2,4.99
2022-02-04 11:35:02,38.0,-498.0,127.1,4.98
2022-02-04 11:35:12,38.0,-500.0,127.2,4.99
2022-02-04 11:35:22,38.0,-498.0,127.0,5.0
2022-02-04 11:35:32,38.0,-500.0,127.3,4.99
2022-02-04 11:35:42,38.0,-498.0,127.1,5.0
2022-02-04 11:35:52,38.0,-499.0,127.1,4.99
2022-02-04 11:36:02,38.0,-500.0,127.2,4.99
2022-02-04 11:36:12,38.0,-500.0,127.2,4.99
2022-02-04 11:36:22,38.0,-500.0,127.2,4.98
2022-02-04 11:36:32,38.0,-498.0,127.1,4.98
2022-02-04 11:36:42,39.0,-500.0,127.2,5.0
2022-02-04 11:36:52,39.0,-499.0,127.2,4.99
2022-02-04 11:37:02,39.0,-500.0,127.1,4.99
2022-02-04 11:37:12,39.0,-499.0,127.2,5.0
2022-02-04 11:37:22,39.0,-500.0,127.1,4.99
2022-02-04 11:37:32,39.0,-500.0,127.2,5.0
2022-02-04 11:37:42,39.0,-499.0,127.2,5.0
2022-02-04 11:37:52,39.0,-498.0,127.3,4.99
2022-02-04 11:38:02,39.0,-498.0,127.1,5.0
2022-02-04 11:38:12,39.0,-500.0,127.3,4.99
2022-02-04 11:38:22,39.0,-500.0,127.1,4.99
2022-02-04 11:38:32,39.0,-500.0,127.2,4.99
2022-02-04 11:38:42,39.0,-498.0,127.2,4.99
2022-02-04 11:38:52,39.0,-500.0,127.1,4.99
2022-02-04 11:39:02,39.0,-498.0,127.3,4.98
2022-02-04 11:39:12,39.0,-500.0,127.2,4.99
2022-02-04 11:39:22,39.0,-500.0,127.1,5.0
2022-02-04 11:39:32,39.0,-500.0,127.1,5.0
2022-02-04 11:39:42,39.0,-500.0,127.1,4.99
2022-02-04 11:39:52,39.0,-499.0,127.2,4.99
2022-02-04 11:40:02,39.0,-498.0,127.3,4.99
2022-02-04 11:40:12,39.0,-498.0,127.1,4.99
2022-02-04 11:40:22,39.0,-498.0,127.2,5.0
2022-02-04 11:40:32,39.0,-500.0,127.3,4.99
2022-02-04 11:40:42,39.0,-500.0,127.3,4.99
2022-02-04 11:40:52,39.0,-499.0,127.1,5.0
2022-02-04 11:41:02,39.0,-500.0,127.2,4.99
2022-02-04 11:41:12,39.0,-500.0,127.2,4.99
2022-02-04 11:41:22,39.0,-500.0,127.1,4.99
2022-02-04 11:41:32,39.0,-500.0,127.1,4.98
2022-02-04 11:41:42,39.0,-500.0,127.3,4.98
2022-02-04 11:41:52,39.0,-499.0,127.2,5.0
2022-02-04 11:42:02,39.0,-498.0,127.0,4.99
2022-02-04 11:42:12,39.0,-504.0,131.0,4.82
2022-02-04 11:42:22,39.0,-502.0,131.1,4.82
2022-02-04 11:42:32,39.0,-502.0,131.1,4.82
2022-02-04 11:42:42,39.0,-385.0,90.1,4.83
2022-02-04 11:42:52,39.0,0.0,8.6,4.81
2022-02-04 11:43:02,39.0,0.0,8.7,4.81
2022-02-04 11:43:12,39.0,0.0,8.6,4.81
2022-02-04 11:43:22,39.0,0.0,8.6,4.81
